"","any","id_rs","rs","id_aga","aga","sexe","grup_edat","nse_baix","nou_pacient","pcsm","pccsm","pacients","visites"
"66",2016,"61","LLEIDA","05","Lleida",0,"45-54",1,0,1,1,116,943
"67",2016,"61","LLEIDA","05","Lleida",0,"45-54",1,1,0,0,35,81
"68",2016,"61","LLEIDA","05","Lleida",0,"45-54",1,1,1,0,15,49
"69",2016,"61","LLEIDA","05","Lleida",0,"45-54",1,1,1,1,44,143
"70",2016,"61","LLEIDA","05","Lleida",0,"55-64",0,0,0,0,96,371
"71",2016,"61","LLEIDA","05","Lleida",0,"55-64",0,0,1,0,64,380
"72",2016,"61","LLEIDA","05","Lleida",0,"55-64",0,0,1,1,158,965
"73",2016,"61","LLEIDA","05","Lleida",0,"55-64",0,1,0,0,91,229
"74",2016,"61","LLEIDA","05","Lleida",0,"55-64",0,1,1,0,11,38
"75",2016,"61","LLEIDA","05","Lleida",0,"55-64",0,1,1,1,38,149
"76",2016,"61","LLEIDA","05","Lleida",0,"55-64",1,0,0,0,45,141
"77",2016,"61","LLEIDA","05","Lleida",0,"55-64",1,0,1,0,35,214
"78",2016,"61","LLEIDA","05","Lleida",0,"55-64",1,0,1,1,95,589
"79",2016,"61","LLEIDA","05","Lleida",0,"55-64",1,1,0,0,18,43
"80",2016,"61","LLEIDA","05","Lleida",0,"55-64",1,1,1,0,4,10
"81",2016,"61","LLEIDA","05","Lleida",0,"55-64",1,1,1,1,25,68
"82",2016,"61","LLEIDA","05","Lleida",0,"6-12",0,0,0,0,431,2428
"83",2016,"61","LLEIDA","05","Lleida",0,"6-12",0,0,1,0,122,1079
"84",2016,"61","LLEIDA","05","Lleida",0,"6-12",0,0,1,1,18,200
"85",2016,"61","LLEIDA","05","Lleida",0,"6-12",0,1,0,0,245,1033
"86",2016,"61","LLEIDA","05","Lleida",0,"6-12",0,1,1,0,43,232
"87",2016,"61","LLEIDA","05","Lleida",0,"6-12",0,1,1,1,2,36
"88",2016,"61","LLEIDA","05","Lleida",0,"6-12",1,0,0,0,138,862
"89",2016,"61","LLEIDA","05","Lleida",0,"6-12",1,0,1,0,82,1046
"90",2016,"61","LLEIDA","05","Lleida",0,"6-12",1,0,1,1,47,685
"91",2016,"61","LLEIDA","05","Lleida",0,"6-12",1,1,0,0,76,310
"92",2016,"61","LLEIDA","05","Lleida",0,"6-12",1,1,1,0,22,115
"93",2016,"61","LLEIDA","05","Lleida",0,"6-12",1,1,1,1,6,31
"94",2016,"61","LLEIDA","05","Lleida",0,"65-74",0,0,0,0,68,189
"95",2016,"61","LLEIDA","05","Lleida",0,"65-74",0,0,1,0,17,99
"96",2016,"61","LLEIDA","05","Lleida",0,"65-74",0,0,1,1,96,412
"97",2016,"61","LLEIDA","05","Lleida",0,"65-74",0,1,0,0,48,110
"98",2016,"61","LLEIDA","05","Lleida",0,"65-74",0,1,1,1,25,55
"99",2016,"61","LLEIDA","05","Lleida",0,"65-74",1,0,0,0,19,47
"100",2016,"61","LLEIDA","05","Lleida",0,"65-74",1,0,1,0,5,12
"101",2016,"61","LLEIDA","05","Lleida",0,"65-74",1,0,1,1,57,278
"102",2016,"61","LLEIDA","05","Lleida",0,"65-74",1,1,0,0,10,23
"103",2016,"61","LLEIDA","05","Lleida",0,"65-74",1,1,1,0,1,1
"104",2016,"61","LLEIDA","05","Lleida",0,"65-74",1,1,1,1,10,30
"105",2016,"61","LLEIDA","05","Lleida",0,"75+",0,0,0,0,31,71
"106",2016,"61","LLEIDA","05","Lleida",0,"75+",0,0,1,0,4,33
"107",2016,"61","LLEIDA","05","Lleida",0,"75+",0,0,1,1,81,244
"108",2016,"61","LLEIDA","05","Lleida",0,"75+",0,1,0,0,37,79
"109",2016,"61","LLEIDA","05","Lleida",0,"75+",0,1,1,0,1,3
"110",2016,"61","LLEIDA","05","Lleida",0,"75+",0,1,1,1,25,62
"111",2016,"61","LLEIDA","05","Lleida",0,"75+",1,0,0,0,20,48
"112",2016,"61","LLEIDA","05","Lleida",0,"75+",1,0,1,0,1,4
"113",2016,"61","LLEIDA","05","Lleida",0,"75+",1,0,1,1,27,103
"114",2016,"61","LLEIDA","05","Lleida",0,"75+",1,1,0,0,6,16
"115",2016,"61","LLEIDA","05","Lleida",0,"75+",1,1,1,1,8,16
"116",2016,"61","LLEIDA","05","Lleida",1,"<6",0,0,0,0,6,9
"117",2016,"61","LLEIDA","05","Lleida",1,"<6",0,1,0,0,15,58
"118",2016,"61","LLEIDA","05","Lleida",1,"<6",0,1,1,0,1,2
"119",2016,"61","LLEIDA","05","Lleida",1,"<6",1,1,0,0,4,17
